有限会社フェスティバロ社,食品／その他専門店・小売,鹿児島,https://job.rikunabi.com/2016/company/top/r100561055/
山佐産業株式会社,住宅／建設／不動産,鹿児島,https://job.rikunabi.com/2016/company/top/r417820005/
鹿児島くみあいチキンフーズ株式会社,その他製造,鹿児島,https://job.rikunabi.com/2016/company/top/r522980090/
株式会社アクシーズ,食品／農林／レストラン・フード,鹿児島,https://job.rikunabi.com/2016/company/top/r756200042/
株式会社健康家族,食品／広告／インターネット関連／化粧品,鹿児島,https://job.rikunabi.com/2016/company/top/r521010031/
株式会社財宝,食品,鹿児島,https://job.rikunabi.com/2016/company/top/r248021020/
農事組合法人　岩戸牧場,農林,鹿児島,https://job.rikunabi.com/2016/company/top/r222460086/
九州昭和産業株式会社,農林／商社（総合）／その他商社,鹿児島,https://job.rikunabi.com/2016/company/top/r710230034/
株式会社トヨタ車体研究所,自動車／ソフトウェア,鹿児島,https://job.rikunabi.com/2016/company/top/r634010041/
三洋ハウス株式会社,住宅／建設／建材・エクステリア／不動産／建築設計,鹿児島,https://job.rikunabi.com/2016/company/top/r974210058/
南九州畜産興業株式会社,食品／商社（食料品）,鹿児島,https://job.rikunabi.com/2016/company/top/r358600007/
アロン電機株式会社,半導体・電子部品・その他／機械,鹿児島,https://job.rikunabi.com/2016/company/top/r308800019/
エスケーハウス株式会社,建材・エクステリア／住宅／メンテナンス・清掃事,宮崎、鹿児島,https://job.rikunabi.com/2016/company/top/r132180059/
株式会社ジャパンファーム,食品／農林,鹿児島,https://job.rikunabi.com/2016/company/top/r296130017/
株式会社ジェイデバイス,半導体・電子部品・その他／その他製造,大分、神奈川,https://job.rikunabi.com/2016/company/top/r644500074/
株式会社　佐伯建設,建設／住宅,大分,https://job.rikunabi.com/2016/company/top/r961030053/
株式会社シンダイ,自動車／輸送機器／金属製品／鉄鋼／機械,愛知、大分,https://job.rikunabi.com/2016/company/top/r953951010/
株式会社　川原建設,建設,大分,https://job.rikunabi.com/2016/company/top/r566861027/
法友建設株式会社,住宅／建設／設備関連／建築設計／福祉関連,大分,https://job.rikunabi.com/2016/company/top/r254851095/
西日本電線株式会社,非鉄金属／重電・産用電気機器／コンピュータ・通信機器・ＯＡ機器／半導体・電子部品・その他／タイヤ・ゴム製品,大分,https://job.rikunabi.com/2016/company/top/r155500044/
ヤンマー造船株式会社,輸送機器／設備関連／プラント・エンジニアリング,大分,https://job.rikunabi.com/2016/company/top/r627001010/
大分キヤノンマテリアル株式会社,家電・ＡＶ機器／半導体・電子部品・その他／コンピュータ・通信機器・ＯＡ機器／精密機器／その他製造,大分,https://job.rikunabi.com/2016/company/top/r895010093/
株式会社想夫恋,商社（食料品）／レストラン・フード／食品,大分、福岡,https://job.rikunabi.com/2016/company/top/r693400045/
佐々木グループ　（株式会社自然食研、株式会社チアエンタープライズ、佐々木食品工業株式会社）,商社（食料品）／食品／インターネット関連／レジャー・アミューズメント／レストラン・フード,大分、福岡,https://job.rikunabi.com/2016/company/top/r719911086/
株式会社ジョイフル,レストラン・フード／食品／その他サービス,大分,https://job.rikunabi.com/2016/company/top/r141800069/
株式会社　豊後企画集団,不動産／住宅／建設／商社（建材・エクステリア）／メンテナンス・清掃事,大分,https://job.rikunabi.com/2016/company/top/r859900092/
株式会社別大興産,不動産／住宅／メンテナンス・清掃事／情報処理,大分,https://job.rikunabi.com/2016/company/top/r915900001/
三和酒類株式会社,食品,大分,https://job.rikunabi.com/2016/company/top/r978300096/
中央発条工業 株式会社,金属製品／機械／精密機器／自動車／住宅,大分,https://job.rikunabi.com/2016/company/top/r482620083/
平倉建設株式会社,建設／住宅／不動産,大分,https://job.rikunabi.com/2016/company/top/r427560044/
山忠商店株式会社,商社（金属）／商社（建材・エクステリア）／その他商社／セメント／建設,大分,https://job.rikunabi.com/2016/company/top/r760700067/
株式会社九州機設,機械設計／機械／プラント・エンジニアリング／設備関連／人材関連（派遣・職紹介・務請負）,大分,https://job.rikunabi.com/2016/company/top/r315900068/
エスティケイテクノロジー株式会社,半導体・電子部品・その他／機械／金属製品／情報処理／ソフトウェア,大分,https://job.rikunabi.com/2016/company/top/r604530063/
大分キヤノン株式会社,家電・ＡＶ機器／半導体・電子部品・その他／精密機器,大分,https://job.rikunabi.com/2016/company/top/r937700089/
光綜合工業株式会社,建設／住宅／建築設計／建設コンサルタント／不動産,大分,https://job.rikunabi.com/2016/company/top/r945851007/
株式会社京製メック,機械／設備関連／精密機器,大分,https://job.rikunabi.com/2016/company/top/r727340071/
有限会社榮建リフォーム・システム,商社（建材・エクステリア）／建設／建設コンサルタント／不動産／建築設計,大分,https://job.rikunabi.com/2016/company/top/r553261021/
日田キヤノンマテリアル株式会社,精密機器／その他製造,大分,https://job.rikunabi.com/2016/company/top/r554161048/
九州ジージーシー株式会社,食品／商社（食料品）／農林,大分,https://job.rikunabi.com/2016/company/top/r815900012/
大分県農業協同組合,共済／政府系・系統金融機関／農林／団体・連合会／商社（食料品）,大分,https://job.rikunabi.com/2016/company/top/r417430080/
株式会社Ｍ・ＺＥＣ,住宅／設備関連,大分,https://job.rikunabi.com/2016/company/top/r700810070/
大石産業株式会社,紙・パルプ／その他製造,福岡,https://job.rikunabi.com/2016/company/top/r309200086/
株式会社川崎技研,プラント・エンジニアリング／設備関連／機械／重電・産用電気機器／その他製造,福岡,https://job.rikunabi.com/2016/company/top/r702300027/
タンスのゲン株式会社,専門店（音楽・書籍・インテリア）／その他専門店・小売／文具・事務機器・インテリア／その他製造／通信,福岡,https://job.rikunabi.com/2016/company/top/r401420012/
株式会社　鷹取製作所,輸送機器／機械／その他製造,福岡,https://job.rikunabi.com/2016/company/top/r984530096/
アイム電機工業株式会社,設備関連／その他製造,福岡,https://job.rikunabi.com/2016/company/top/r937490001/
株式会社ゼネラルアサヒ,印刷関連／広告／ソフトウェア／インターネット関連,福岡,https://job.rikunabi.com/2016/company/top/r844710003/
株式会社プリントパック,印刷関連／機械／広告／出版／その他サービス,京都、福岡,https://job.rikunabi.com/2016/company/top/r505110024/
株式会社網中,商社（紙）／商社（事務機器・ＯＡ関連）／ソフトウェア／商社（総合）／印刷関連,福岡,https://job.rikunabi.com/2016/company/top/r754210036/
株式会社ダイケン,広告／印刷関連,熊、東京,https://job.rikunabi.com/2016/company/top/r669900086/
株式会社ヤマックス,セメント／建設／建材・エクステリア／商社（建材・エクステリア）／住宅,熊,https://job.rikunabi.com/2016/company/top/r270900047/
株式会社永井製作所,金属製品／建築設計／その他サービス／設備関連／建設,熊,https://job.rikunabi.com/2016/company/top/r658420099/
金剛株式会社,金属製品／文具・事務機器・インテリア／機械／安全・セキュリティ産,熊,https://job.rikunabi.com/2016/company/top/r779900047/
森尾プレス工業株式会社,金属製品,福岡,https://job.rikunabi.com/2016/company/top/r332490014/
